,OccasionalVolunteer,"Population,-2016",age_distribution_0-to-14-years,age_distribution_15-to-64-years,age_distribution_65-years-and-over,age_distribution_85-years-and-over,age_Average-age-of-the-population,age_Median-age-of-the-population,family_%-married-or-living-common-law,family_Average-size-of-census-families,family_%-census-families-that-are-couples,family_%-couples-with-children,income_Median-employment-income-in-2015-for-full-year-full-time-workers-over-15-($),income_Average-employment-income-in-2015-for-full-year-full-time-workers-over-15-($),income_Median-total-income-of-households-in-2015-($),"income_Prevalence-of-low-income-based-on-the-Low-income-measure,-after-tax-(LIM-AT)-(%)",citizenship_%-canadian-citizens,citizenship_%-immigrants,dwellings_%-owners,dwellings_%-renters,"education_%-no-certificate,-diploma-or-degree",education_%-high-school-diploma,"education_%-postsecondary-certificate,-diploma-or-degree",education_%-apprenticeship-or-trades-certificate-or-diploma,education_%-college-certificate-or-diplome,education_%-bachelor-or-above,labour_force_Participation-rate,labour_force_Employment-rate,labour_force_Unemployment-rate,AgeGroupNumeric,YearsVolunteeredGroupNumeric
0,1.0,29858.0,0.18600000000000003,0.654,0.161,0.02,39.8,39.5,0.595805921,3.0,0.835495283,0.558927311,55224.0,64304.0,79266.0,0.124,0.9391570359999999,0.270904147,0.7146702559999999,0.285329744,0.196436059,0.289727463,0.513836478,0.060377358,0.224737945,0.21069182399999997,0.665,0.622,0.064,25.0,1.0
1,0.0,13407.0,0.11,0.721,0.16899999999999998,0.025,41.8,38.9,0.447798742,2.6,0.8,0.350775194,48126.0,56511.0,48505.0,0.22899999999999998,0.912591452,0.237966885,0.334517045,0.665482955,0.18024263399999998,0.267764298,0.5519930679999999,0.04722703599999999,0.19150779899999998,0.29982669,0.649,0.596,0.08199999999999999,35.0,2.0
2,1.0,16900.0,0.192,0.7040000000000001,0.10400000000000001,0.017,37.3,38.1,0.63579795,3.2,0.890052356,0.662352941,68332.0,81878.0,106799.0,0.092,0.905740181,0.335246149,0.9011893870000001,0.098810613,0.11861861900000001,0.235735736,0.645645646,0.036036036,0.178303303,0.409534535,0.71,0.6579999999999999,0.07400000000000001,35.0,1.0
3,0.0,29858.0,0.18600000000000003,0.654,0.161,0.02,39.8,39.5,0.595805921,3.0,0.835495283,0.558927311,55224.0,64304.0,79266.0,0.124,0.9391570359999999,0.270904147,0.7146702559999999,0.285329744,0.196436059,0.289727463,0.513836478,0.060377358,0.224737945,0.21069182399999997,0.665,0.622,0.064,25.0,2.0
4,1.0,27758.0,0.121,0.71,0.16899999999999998,0.026000000000000002,39.2,33.3,0.466079115,2.8,0.838391502,0.441628959,56592.0,69782.0,60683.0,0.22699999999999998,0.8323920570000001,0.22718163600000002,0.46444906399999997,0.535550936,0.113380575,0.306586078,0.5802417670000001,0.038766153,0.144852022,0.37744893700000004,0.58,0.532,0.083,45.0,1.0
5,1.0,27758.0,0.121,0.71,0.16899999999999998,0.026000000000000002,39.2,33.3,0.466079115,2.8,0.838391502,0.441628959,56592.0,69782.0,60683.0,0.22699999999999998,0.8323920570000001,0.22718163600000002,0.46444906399999997,0.535550936,0.113380575,0.306586078,0.5802417670000001,0.038766153,0.144852022,0.37744893700000004,0.58,0.532,0.083,25.0,1.0
6,1.0,17670.0,0.21100000000000002,0.688,0.10099999999999999,0.01,36.4,36.8,0.634505022,3.3,0.8602576809999999,0.684331797,58595.0,73145.0,109056.0,0.063,0.952476381,0.30652547199999997,0.864503817,0.13645038199999998,0.187545257,0.285662563,0.5264301229999999,0.056480811,0.22013034,0.225561188,0.7240000000000001,0.679,0.062,55.0,1.0
7,1.0,27330.0,0.149,0.67,0.18,0.033,40.7,39.0,0.556344086,2.9,0.853940217,0.521081941,59576.0,70465.0,83425.0,0.12,0.927408793,0.23330215199999998,0.679639298,0.320360702,0.108460349,0.272144908,0.619394743,0.041749503,0.177380163,0.381488845,0.6859999999999999,0.64,0.067,35.0,1.0
8,1.0,42210.0,0.163,0.6609999999999999,0.17600000000000002,0.023,41.3,41.6,0.549249929,2.8,0.783415842,0.491311216,47293.0,53143.0,63306.0,0.158,0.947235273,0.227228916,0.597394908,0.40260509200000005,0.27468555699999997,0.328899812,0.396270059,0.071562816,0.20312274100000002,0.10929593800000001,0.64,0.594,0.071,35.0,1.0
9,1.0,13407.0,0.11,0.721,0.16899999999999998,0.025,41.8,38.9,0.447798742,2.6,0.8,0.350775194,48126.0,56511.0,48505.0,0.22899999999999998,0.912591452,0.237966885,0.334517045,0.665482955,0.18024263399999998,0.267764298,0.5519930679999999,0.04722703599999999,0.19150779899999998,0.29982669,0.649,0.596,0.08199999999999999,35.0,1.0
