,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,RT @newsmax: Cuomo steps up his defense as AOC joins a list of lawmakers calling for a nursing home investigation: https://t.co/XtIJmLPdVV…,2021-02-20 17:58:34,1363186294558494727,ObjectiveCryptoAnalysis,majning,933782730055274496,Czech Republic,,#Cryptocurrency #Blockchain #data #privacy #security,False,384,594,13164,13298,0,2017-11-23 19:42:06,https://pbs.twimg.com/profile_images/954339738596577280/VXSgbAWO_normal.jpg,True,False
1,"RT @Mippcivzla: 🗣️ ¡𝐓𝐎𝐌𝐀 𝐏𝐑𝐄𝐂𝐀𝐔𝐂𝐈𝐎́𝐍 ! ✍️🇻🇪 

Ya que el Coronavirus se puede transmitir fácilmente de persona a persona, es necesario adopt…",2021-02-20 17:58:33,1363186294025838595,Rojo20207,rojo20207,1331045937158959110,"Maracaibo, Venezuela",,Chávez y maduro x 100 pre,False,173,161,241,25682,0,2020-11-24 01:24:25,https://pbs.twimg.com/profile_images/1331046097263980544/GDOgTBvL_normal.jpg,True,False
2,Banquer va gonfler le chiffres de cas positifs avec les tests salivaires. Ce gouvernement est prêt à tout pour nous… https://t.co/3kqzSjZ69a,2021-02-20 17:58:32,1363186286199267329,En quête de vérité,no_incognito_00,1864370768,pas loin de vous,,"«A chaque fois que vous vous retrouvez à penser comme la majorité des gens, faites une pause, et réfléchissez...» ",False,29,99,506,647,0,2013-09-14 16:47:32,https://pbs.twimg.com/profile_images/1350174071871434759/KVJg_Utd_normal.jpg,True,False
3,RT @chicagotribune: The COVID-19 relief package could pass Congress as early as the end of next week https://t.co/8Fv9gYVtgr,2021-02-20 17:58:31,1363186283573575687,F Frazier,Literacy_Lights,2643825305,"Chicago, IL",,"Literacy advocate, coach, educator, PD provider, consultant, book nerd, life-long learner and card carrying member of a loving family.",False,428,558,44936,37871,91,2014-06-26 12:43:46,https://pbs.twimg.com/profile_images/642822165079937024/iey6skTP_normal.jpg,True,False
4,"RT @KenRoth: Why is Beijing refusing to share with WHO:
1. Anonymized case information on the half of the Dec 2019 Covid cases with no conn…",2021-02-20 17:58:30,1363186280633229312,Myo Yu Nwe,MyoYuNwe1,1359117075646615556,,,,False,1,35,0,502,0,2021-02-09 12:29:47,https://pbs.twimg.com/profile_images/1361989079106162689/fXJ4KO51_normal.jpg,True,False
5,"@BretonSteph35 Si le coronavirus attaquait le cerveau, j’en connais qui ne seraient pas infectés...",2021-02-20 17:58:29,1363186276652974081,Olibrius🐟🇪🇺🥨#GainsbourgForever,Olibrius45,858283869908369409,,,"Quand on ignore ce qu’est la liberté d’expression, on ferme sa gueule !",False,571,683,23981,54087,2,2017-04-29 11:36:35,https://pbs.twimg.com/profile_images/1346413682310459392/81-Dgm4n_normal.jpg,True,False
6,@AdithyaR_YXE @PremierScottMoe Let’s Lead Scott! If we can’t get access to vaccines let’s go at if from another ang… https://t.co/OtFIPEYVzI,2021-02-20 17:58:29,1363186276644515845,threeOsixFarmer,threeOsixFarmer,1322210728007266304,,,,False,1,4,2,6,0,2020-10-30 16:16:29,https://pbs.twimg.com/profile_images/1322212007903256578/oLiAR7V6_normal.jpg,True,False
7,RT @nbody6: El último Reporte Variante Epidemiológico es del 30 de enero. Supongo que siguen buscando otras variantes entre los contagiados…,2021-02-20 17:58:29,1363186275608645644,Isabeau,sophieflor3nce,3030865378,,,,False,104,520,25304,19782,3,2015-02-11 17:36:36,https://pbs.twimg.com/profile_images/1227348372870385664/dYgHRvz3_normal.jpg,True,False
8,"RT @beltrandelrio: Alguien que reta permanentemente al coronavirus no usando cubrebocas, tarde o temprano se va a contagiar y va contagiar…",2021-02-20 17:58:29,1363186274752987137,Yleana Vargas González,RBV56640371,1222865391418036224,,,Especialista en Escritura Fina ✒📜,False,149,600,10607,7734,0,2020-01-30 12:53:38,https://pbs.twimg.com/profile_images/1334520076654039041/9kyHixHc_normal.jpg,True,False
9,"RT @globalnewsto: As of 8 p.m. Friday, Ontario has administered 540,129 COVID-19 vaccine doses, which is up by 21,295. https://t.co/y7J7kS1…",2021-02-20 17:58:29,1363186274534883328,James Swartz,JamesSwartz60,124018174,"Vaughan, Ontario, Canada",https://t.co/9a5AsG94CH,Official Account of James Swartz. I am a professional lyricist/song writer who has a collection of material that is either published/looking to be published.,False,2689,1793,202850,202753,167,2010-03-18 00:17:11,https://pbs.twimg.com/profile_images/378800000719170848/500f18d6191222743f43dbc9d591073c_normal.jpeg,False,False
10,Poll: Less than Half of China‘s Health Workers Want Chinese Coronavirus Vaccine https://t.co/6UexGc2qOO via @BreitbartNews,2021-02-20 17:58:29,1363186273729482753,Cara TXZEAL,Cara_TXZEAL,4817958794,"Texas, USA",,GAB & Parler @ txsoutherngrace  MAGA Researcher Entrepreneur Health Wellness Weight Loss Nutrition non-GMO Autoimmune News/PoliticsJunkie Conservative,False,8575,8212,594320,197089,39,2016-01-26 19:18:50,https://pbs.twimg.com/profile_images/1347341999486210057/-c1vWWZL_normal.jpg,False,False
11,RT @Milenio: Hugo López-Gatell da positivo a coronavirus https://t.co/ZVLtc7xg7V https://t.co/GMlrZO0u4v,2021-02-20 17:58:29,1363186273544933376,Anibal Guerrero Guer,anibal_guer,3023975493,,,,False,3508,5004,0,111295,25,2015-02-07 22:19:17,https://pbs.twimg.com/profile_images/566001231298969600/bKPRwDzZ_normal.jpeg,True,False
12,RT @newsmax: Cuomo steps up his defense as AOC joins a list of lawmakers calling for a nursing home investigation: https://t.co/XtIJmLPdVV…,2021-02-20 17:58:28,1363186272680951811,Joshua,Shenanigans6,3425371798,"Charlotte, NC",,"In God we trust. Conservative, Patriot, PRO #Humanity PRO #2A",False,142,364,532,9728,9,2015-08-16 06:01:04,https://pbs.twimg.com/profile_images/921349886913769473/wLr3rzw-_normal.jpg,True,False
