id,created_at,text
1363172112178049024,2021-02-20 17:02:12,"RT @Laurier: Everyone has a story.

Laurier EdTalks returns on Feb. 24th at 7pm with @WaterlooLibrary. @LaurierEdu faculty member, @cathymi…"
1363141359612416008,2021-02-20 15:00:00,Were you swept away by Bridgerton? Are you a fan of the romance series by Julia Quinn? Looking for a little lighthe… https://t.co/1a4MbVcFeJ
1362914870027452417,2021-02-20 00:00:01,We asked our staff what some of their favourite books and movies were from 2020 and we got an awesome selection of… https://t.co/nAGZVtBCc1
1362850545845882887,2021-02-19 19:44:25,We're hiring! You could be a part of our story. We have openings at both our Main Library in @uptownwaterloo and at… https://t.co/sGUAQMOnKe
1362777700038045697,2021-02-19 14:54:57,"When Aiden disappears for 6 days, everyone is mystified. When he reappears, claiming to have been in a mystical wor… https://t.co/Uv5NU2tJKW"
1362771191136739328,2021-02-19 14:29:05,@SusanCadell @John_Orpheus @fitsumareguy @BooksWordsWorth @PenguinCanada Unfortunately this event was not recorded.
1362749777796947976,2021-02-19 13:04:00,#GetOrganized at home with @KWPOrganizers . Since many of our spaces are now being used for both work and home you'… https://t.co/6dhHts7unj
1362580352536035329,2021-02-19 01:50:46,What an amazing discussion tonight with @John_Orpheus and @fitsumareguy  thank you to everyone who tuned in virtual… https://t.co/pGA4j5KFSa
1362527119662845959,2021-02-18 22:19:14,"RT @cardamomaddict: So, as part of last night's @WaterlooLibrary talk, we played my first ever cooking video, which I made all by myself! T…"
1362487758250508291,2021-02-18 19:42:50,Yesterday was I Read Canadian Day. If that day has sparked your interest and you are looking for more books by trem… https://t.co/N15hLgOjQd
1362462635795562499,2021-02-18 18:03:00,Do you know the story of former slave and Waterloo resident Levi Carroll and his family? This is a fascinating and… https://t.co/IPQgfNPoQ4
1362429253732728833,2021-02-18 15:50:21,We can't wait! Register now at: https://t.co/WODDesuzMw https://t.co/TCIYhqAsFO
1362419098517336064,2021-02-18 15:10:00,"Don't miss the next Laurier EdTalk with @cathymiyata as she discusses the power of stories.

Wed Feb 24 at 7PM
Regi… https://t.co/xFqNdB4lxd"
1362401770861920260,2021-02-18 14:01:09,"Thank you so much @cardamomaddict for joining us last night! 

And if anyone is curious we do indeed have this awes… https://t.co/yfF8OHVbN3"
1362190092987752449,2021-02-18 00:00:01,"There are so many powerful books to read during Black History Month and, similarly, there are plenty of cookbooks o… https://t.co/94RKnRbotm"
1362131354448707584,2021-02-17 20:06:36,Happy #IReadCanadian Day! Today our regional libraries are launching the Forest of Reading Virtual Adventure.… https://t.co/mzumg1fCby
